Date,Open,High,Low,Close,Volume,Adj Close
1/23/2012,29.55,29.95,29.35,29.73,76078100,29.73
1/20/2012,28.82,29.74,28.75,29.71,165881900,29.71
1/19/2012,28.16,28.44,28.03,28.12,74053500,28.12
1/18/2012,28.31,28.4,27.97,28.23,64860600,28.23
1/17/2012,28.4,28.65,28.17,28.26,72395300,28.26
1/13/2012,27.93,28.25,27.79,28.25,60196100,28.25
1/12/2012,27.87,28.02,27.65,28,49370800,28
1/11/2012,27.43,27.98,27.37,27.72,65582400,27.72
1/10/2012,27.93,28.15,27.75,27.84,60014400,27.84
1/9/2012,28.05,28.1,27.72,27.74,59706800,27.74
1/6/2012,27.53,28.19,27.53,28.11,99455500,28.11
1/5/2012,27.38,27.73,27.29,27.68,56081400,27.68
1/4/2012,26.82,27.47,26.78,27.4,80516100,27.4
1/3/2012,26.55,26.96,26.39,26.77,64731500,26.77
12/30/2011,26,26.12,25.91,25.96,27395700,25.96
12/29/2011,25.95,26.05,25.86,26.02,22616900,26.02
12/28/2011,26.11,26.15,25.76,25.82,29822500,25.82
12/27/2011,25.96,26.14,25.93,26.04,21287200,26.04
12/23/2011,25.91,26.04,25.73,26.03,23205800,26.03
12/22/2011,25.82,25.86,25.48,25.81,35794100,25.81
12/21/2011,26.01,26.19,25.44,25.76,64132500,25.76
12/20/2011,25.86,26.1,25.81,26.03,60767600,26.03
12/19/2011,26.02,26.12,25.46,25.53,52258300,25.53
12/16/2011,25.67,26.17,25.63,26,101408100,26
12/15/2011,25.72,25.88,25.54,25.56,46213900,25.56
12/14/2011,25.72,25.86,25.57,25.59,47926400,25.59
12/13/2011,25.75,26.1,25.65,25.76,54581100,25.76
12/12/2011,25.41,25.57,25.29,25.51,38945900,25.51
12/9/2011,25.52,25.87,25.5,25.7,53788500,25.7
12/8/2011,25.48,25.72,25.37,25.4,60522200,25.4
12/7/2011,25.67,25.76,25.34,25.6,62667000,25.6
12/6/2011,25.81,25.87,25.61,25.66,46175300,25.66
12/5/2011,25.78,25.8,25.5,25.7,56818400,25.7
12/2/2011,25.59,25.62,25.16,25.22,52293800,25.22
12/1/2011,25.56,25.63,25.2,25.28,48545400,25.28
11/30/2011,25.37,25.59,25.14,25.58,81350900,25.58
11/29/2011,24.82,25.04,24.75,24.84,40917100,24.84
11/28/2011,24.94,24.97,24.69,24.87,46766700,24.87
11/25/2011,24.38,24.67,24.3,24.3,26164600,24.3
11/23/2011,24.61,24.79,24.47,24.47,49099700,24.47
11/22/2011,24.89,24.96,24.65,24.79,49204500,24.79
11/21/2011,25.24,25.25,24.9,25,61882500,25
11/18/2011,25.48,25.5,25.15,25.3,47626200,25.3
11/17/2011,26.01,26.04,25.44,25.54,70977500,25.54
11/16/2011,26.47,26.51,26.04,26.07,53262800,26.07
11/15/2011,26.56,26.94,26.4,26.74,43874200,26.74
11/14/2011,26.88,27,26.65,26.76,34199200,26.56
11/11/2011,26.58,27.08,26.57,26.91,37903000,26.71
11/10/2011,26.47,26.5,26.12,26.28,32514400,26.08
11/9/2011,26.59,26.75,26.06,26.2,62950900,26
11/8/2011,27.01,27.2,26.69,27.16,47822500,26.96
11/7/2011,26.21,26.82,26.13,26.8,42589700,26.6
11/4/2011,26.38,26.4,26,26.25,36549200,26.05
11/3/2011,26.24,26.59,25.98,26.53,65836100,26.33
11/2/2011,26.1,26.2,25.7,26.01,53533100,25.82
11/1/2011,26.19,26.32,25.86,25.99,61182600,25.8
10/31/2011,26.76,27,26.62,26.63,46799000,26.43
10/28/2011,27.14,27.19,26.79,26.98,57712100,26.78
10/27/2011,27.13,27.4,26.65,27.25,74512400,27.05
10/26/2011,27.03,27.06,26.1,26.59,63029900,26.39
10/25/2011,27.08,27.23,26.72,26.81,53554600,26.61
10/24/2011,27.06,27.4,27.04,27.19,56897800,26.99
10/21/2011,27.15,27.19,26.8,27.16,76620600,26.96
10/20/2011,27.26,27.34,26.4,27.04,76300200,26.84
10/19/2011,27.37,27.47,27.01,27.13,42880000,26.93
10/18/2011,26.94,27.4,26.8,27.31,52487900,27.11
10/17/2011,27.11,27.42,26.85,26.98,39453300,26.78
10/14/2011,27.31,27.5,27.02,27.27,50947700,27.07
10/13/2011,26.76,27.2,26.62,27.18,43823500,26.98
10/12/2011,27.18,27.31,26.9,26.96,52489800,26.76
10/11/2011,26.86,27.07,26.72,27,38826200,26.8
10/10/2011,26.58,26.97,26.47,26.94,41815300,26.74
10/7/2011,26.34,26.51,26.2,26.25,52741600,26.05
10/6/2011,25.9,26.4,25.7,26.34,55111400,26.14
10/5/2011,25.42,26.16,25.16,25.89,94061300,25.7
10/4/2011,24.3,25.39,24.26,25.34,83485400,25.15
10/3/2011,24.72,25.34,24.52,24.53,64592500,24.35
9/30/2011,25.2,25.5,24.88,24.89,54060500,24.7
9/29/2011,25.98,26.17,25.09,25.45,63407300,25.26
9/28/2011,25.93,26.37,25.51,25.58,60736200,25.39
9/27/2011,25.66,25.92,25.45,25.67,55620700,25.48
9/26/2011,25.19,25.52,24.73,25.44,51057600,25.25
9/23/2011,24.9,25.15,24.69,25.06,64768100,24.87
9/22/2011,25.3,25.65,24.6,25.06,96278300,24.87
9/21/2011,27.05,27.06,25.97,25.99,72750700,25.8
9/20/2011,27.31,27.5,26.93,26.98,49211900,26.78
9/19/2011,26.8,27.31,26.6,27.21,52324900,27.01
9/16/2011,27.05,27.27,26.83,27.12,89681500,26.92
9/15/2011,26.73,27.03,26.31,26.99,67808300,26.79
9/14/2011,26.17,26.8,25.89,26.5,66739200,26.3
9/13/2011,25.92,26.19,25.81,26.04,48792300,25.85
9/12/2011,25.44,25.93,25.27,25.89,55046100,25.7
9/9/2011,26,26.18,25.5,25.74,64529200,25.55
9/8/2011,26,26.66,25.95,26.22,65811900,26.02
9/7/2011,25.69,26,25.57,26,41961000,25.81
9/6/2011,25.2,25.59,25.11,25.51,54929300,25.32
9/2/2011,25.78,26,25.66,25.8,43894400,25.61
9/1/2011,26.46,26.86,26.21,26.21,60510800,26.01
8/31/2011,26.29,26.71,26.26,26.6,59300800,26.4
8/30/2011,25.73,26.43,25.7,26.23,57341400,26.03
8/29/2011,25.53,25.86,25.37,25.84,38863200,25.65
8/26/2011,24.51,25.34,24.42,25.25,71957000,25.06
8/25/2011,25.08,25.16,24.5,24.57,48192000,24.39
8/24/2011,24.65,24.93,24.42,24.9,45329700,24.71
8/23/2011,24.03,24.75,24.03,24.72,59670600,24.54
8/22/2011,24.42,24.49,23.79,23.98,54721000,23.8
8/19/2011,24.41,24.62,23.91,24.05,77397900,23.87
8/18/2011,24.57,25.09,24.03,24.67,105714200,24.49
8/17/2011,25.25,25.7,24.93,25.25,50923700,25.06
8/16/2011,25.22,25.59,25.05,25.35,54251500,25.16
8/15/2011,25.24,25.58,25.15,25.51,56529400,25.16
8/12/2011,25.13,25.34,24.65,25.1,64787100,24.76
8/11/2011,24.5,25.38,24.4,25.19,90690100,24.84
8/10/2011,24.95,25.09,24.1,24.2,127819900,23.87
8/9/2011,24.71,25.62,24.03,25.58,126268900,25.23
8/8/2011,25.02,25.6,24.39,24.48,134257200,24.14
8/5/2011,25.97,26.1,25.23,25.68,112071700,25.33
8/4/2011,26.53,26.87,25.93,25.94,92949500,25.58
8/3/2011,26.83,27,26.48,26.92,64581200,26.55
8/2/2011,26.98,27.45,26.76,26.8,63883100,26.43
8/1/2011,27.51,27.69,26.75,27.27,61838400,26.9
7/29/2011,27.52,27.71,27.26,27.4,104394800,27.02
7/28/2011,27.29,28.07,27.21,27.72,83761400,27.34
7/27/2011,27.88,27.99,27.2,27.33,71488700,26.96
7/26/2011,27.82,28.15,27.78,28.08,74636500,27.7
7/25/2011,27.26,28.09,27.19,27.91,108482400,27.53
7/22/2011,26.86,27.55,26.68,27.53,76380600,27.15
7/21/2011,27.04,27.31,26.65,27.1,81737400,26.73
7/20/2011,27.28,27.35,26.98,27.06,49795400,26.69
7/19/2011,26.81,27.64,26.78,27.54,86730600,27.16
7/18/2011,26.63,26.9,26.26,26.59,44501900,26.23
7/15/2011,26.47,26.93,26.47,26.78,49132400,26.41
7/14/2011,26.62,27.01,26.36,26.47,46382300,26.11
7/13/2011,26.6,26.96,26.51,26.63,40861800,26.27
7/12/2011,26.55,26.79,26.34,26.54,47319300,26.18
7/11/2011,26.62,26.8,26.49,26.63,43999800,26.27
7/8/2011,26.54,26.98,26.51,26.92,58332500,26.55
7/7/2011,26.49,26.88,26.36,26.77,51946500,26.4
7/6/2011,25.97,26.37,25.96,26.33,48744200,25.97
7/5/2011,26.1,26.15,25.9,26.03,37805300,25.67
7/1/2011,25.93,26.17,25.84,26.02,52906200,25.66
